CODE ;CATEGORY    ;TITLE                ;DURATION;COACH          ;IMAGE                                           ;URL                                      ;AUDIENCE   ;INTENSITY             ;TAGS            ;DESCRIPTION                                                                                                                             ;RESUME;
YG001;YOGA        ;Yoga Leg Stretching 1;12:30   ;Julia Hernandez;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;Women      ;Beginner, Intermediate;energy,endurance;This is a quick routine that is focused mainly on hips and hamstrings. Perfect for recovery/sore muscles and working on your flexibility;She is a LA-based yoga trainer who specialises in yoga therapeutics for scoliosis, stress, anxiety, depression, and many other modern day imbalances and health issues;
YG002;YOGA        ;Yoga Leg Stretching 2;12:30   ;Julia Hernandez;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;Women      ;Beginner, Intermediate;energy,endurance;This is a quick routine that is focused mainly on hips and hamstrings. Perfect for recovery/sore muscles and working on your flexibility;She is a LA-based yoga trainer who specialises in yoga therapeutics for scoliosis, stress, anxiety, depression, and many other modern day imbalances and health issues;
YG003;YOGA        ;Yoga Leg Stretching 3;12:30   ;Julia Hernandez;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;Women      ;Beginner, Intermediate;energy,endurance;This is a quick routine that is focused mainly on hips and hamstrings. Perfect for recovery/sore muscles and working on your flexibility;She is a LA-based yoga trainer who specialises in yoga therapeutics for scoliosis, stress, anxiety, depression, and many other modern day imbalances and health issues;
YG004;YOGA        ;Yoga Leg Stretching 4;12:30   ;Julia Hernandez;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;Women      ;Beginner, Intermediate;energy,endurance;This is a quick routine that is focused mainly on hips and hamstrings. Perfect for recovery/sore muscles and working on your flexibility;She is a LA-based yoga trainer who specialises in yoga therapeutics for scoliosis, stress, anxiety, depression, and many other modern day imbalances and health issues;
YG005;YOGA        ;Yoga Leg Stretching 5;12:30   ;Julia Hernandez;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;Women      ;Beginner, Intermediate;energy,endurance;This is a quick routine that is focused mainly on hips and hamstrings. Perfect for recovery/sore muscles and working on your flexibility;She is a LA-based yoga trainer who specialises in yoga therapeutics for scoliosis, stress, anxiety, depression, and many other modern day imbalances and health issues;
YG006;YOGA        ;Yoga Leg Stretching 6;12:30   ;Julia Hernandez;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;Women      ;Beginner, Intermediate;energy,endurance;This is a quick routine that is focused mainly on hips and hamstrings. Perfect for recovery/sore muscles and working on your flexibility;She is a LA-based yoga trainer who specialises in yoga therapeutics for scoliosis, stress, anxiety, depression, and many other modern day imbalances and health issues;
YG007;YOGA        ;Yoga Leg Stretching 7;12:30   ;Julia Hernandez;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;Women      ;Beginner, Intermediate;energy,endurance;This is a quick routine that is focused mainly on hips and hamstrings. Perfect for recovery/sore muscles and working on your flexibility;She is a LA-based yoga trainer who specialises in yoga therapeutics for scoliosis, stress, anxiety, depression, and many other modern day imbalances and health issues;
PI001;PILATES     ;Morning pilates 1    ;10:20   ;Tatiana Mendoza;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;All Genders;Beginner              ;energy,endurance;This is a quick routine that is focused mainly on hips and hamstrings. Perfect for recovery/sore muscles and working on your flexibility; ;
PI002;PILATES     ;Morning pilates 2    ;10:20   ;Tatiana Mendoza;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;All Genders;Beginner              ;energy,endurance;This is a quick routine that is focused mainly on hips and hamstrings. Perfect for recovery/sore muscles and working on your flexibility; ;
PI003;PILATES     ;Morning pilates 3    ;10:20   ;Tatiana Mendoza;https://i.ytimg.com/vi/hH_KVVgV_Vo/hqdefault.jpg;https://www.youtube.com/embed/hH_KVVgV_Vo   ;All Genders;Beginner              ;energy,endurance;This is a quick routine that is focused mainly on hips and hamstrings. Perfect for recovery/sore muscles and working on your flexibility; ;
